	Actinobacteria	Proteobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Thaumarchaeota	Gemmatimonadetes_d__Bacteria	unclassified_d__Bacteria	Verrucomicrobia	Planctomycetes	Candidatus_Rokubacteria	Others	Proteobacteria	Actinobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Gemmatimonadetes	unclassified	Firmicutes	Rokubacteria	Nitrospirae	Cyanobacteria	Others	Actinobacteria	Proteobacteria	Chloroflexi	Acidobacteria	Bacteroidetes	unclassified	Planctomycetes	Gemmatimonadetes	Firmicutes	Verrucomicrobia	Ignavibacteriae	Others
JuE1D2	2833.257346	1807.455387	725.3279621	431.6987623	76.14176311	258.3898658	154.3862541	116.8439169	52.71915371	86.29321727	27.78635624	360.4388282	272.2724703	209.3282904	87.98317963	18.97907426	2.66917463	14.85751209	10.31219234	5.579221789	0.280486252	0.627773333	3.420579878	23.6229531	170.9243378	43.8309726	12.96598225	22.20395409	7.532415106	5.29213554	4.436347711	5.327915612	3.882182758	0.475661562	0.803436685	6.13971849
JuE1D3	3338.503768	1596.546509	587.7582057	501.5280512	101.2116098	124.0450502	155.9293562	118.0029126	45.11244433	83.87172268	22.38267439	348.171187	248.0522358	217.0149141	68.95520535	19.68735983	2.965100888	8.830002639	9.658009237	6.188963179	0	1.0458274	3.62016997	14.77174875	215.4044818	46.63319156	15.61576086	17.51221347	8.55366727	2.615385462	5.806421722	3.000046291	2.211576576	0.14220773	0	5.543456552
JuE2D1	3216.610154	1764.868396	870.7240658	443.906072	203.866362	286.9543874	103.7421208	103.6906639	64.40202634	62.96076802	27.68990412	295.5000885	323.4415928	260.9317513	105.9527486	13.99595993	5.884228396	7.598046243	5.568572582	6.132532644	0.192977312	3.018099746	3.657322717	5.671083652	216.4550226	69.75234485	13.30950466	30.12790133	26.01841633	10.98342287	2.244724051	1.607403878	1.533659297	1.110596249	0.582405516	7.580247694
JuE2D2	3307.820543	1882.847036	905.2164347	420.0762442	223.2041371	184.6681156	81.33652899	88.60836276	54.46855876	74.53867414	30.68338309	306.9151251	330.536312	265.1178337	103.8204734	15.17538665	5.679590005	4.701899933	4.708953132	6.01474659	0.055252557	1.704700122	4.145873548	7.131772738	235.3880785	84.61956561	9.032693138	39.84111131	22.91269885	8.498851418	3.073048803	1.488348122	1.6285801	1.281886696	0.745418169	8.490567079
JuE2D3	3185.074734	1702.335928	884.9732885	543.2688272	128.0156136	258.9659713	110.9009014	107.2622677	78.958118	96.41185301	28.18391233	335.6608441	298.2821581	267.0734137	86.55588041	18.05557023	4.808372088	7.063650677	7.631219451	8.170326168	0.518913091	1.220165541	0.562879107	7.350813536	164.9088108	53.83070511	17.30491401	32.08529206	15.96071573	9.846715098	3.069973075	5.049140944	3.803992324	1.692394912	0.797840468	8.64007598
JuE3D1	4071.883406	1798.469619	764.7432327	293.4390531	85.69839953	110.8708208	71.51966669	70.08041308	70.0527299	47.64791704	76.85529639	196.848027	375.7865987	301.7586348	84.97898367	15.87451606	3.634569576	5.194920158	0.173549216	3.452063289	0.732417184	0.500521771	1.645001347	9.581142721	249.2241635	88.40423192	27.8628464	37.89451316	12.10063101	1.814089091	4.477404105	3.913903144	3.660085414	1.005528352	1.57147718	13.06306514
JuE3D2	4050.653553	1940.498416	593.988097	247.751791	115.7496083	53.35523573	67.25112135	58.83196764	110.5009562	50.65980086	68.38950043	130.1198504	399.8404668	256.5230805	51.01755543	11.04361433	8.738050266	4.133444085	0.232119236	2.532714297	2.227309091	0.167241189	1.664382403	9.865839096	312.4116085	90.40965412	15.74810258	18.58292468	11.90137394	2.575755343	4.707767833	4.619422987	2.197696918	2.028074769	0	8.948003255
JuE3D3	4519.943762	1701.480019	515.7912142	248.8352068	84.06967366	141.8056389	48.73346683	60.19944656	73.87066085	43.35277723	82.8623943	151.1847308	353.448635	292.0544534	37.63938126	12.85031463	2.194144106	2.084441536	0.749677917	1.56765172	2.23941454	1.11727788	1.040762547	6.617751535	335.3410389	88.62546835	17.38761848	17.22113036	7.997943274	3.477032022	3.910746986	1.532585786	0.55755859	1.767703176	0	10.38136513
JuE4D1	3184.37696	1805.357127	977.110815	341.1094103	147.3787892	207.733439	102.3030442	75.32142094	101.4644635	62.75969165	118.7762759	208.9358382	368.9685234	211.2648623	97.43185266	15.00937542	6.680220994	4.835673509	3.881214884	1.218080059	6.814205589	5.864405421	1.168522948	8.581393547	185.9639549	77.19443795	22.46128318	25.27409652	12.99914181	3.510314407	6.652199917	3.628203066	1.430122339	1.435164629	0	14.01429784
JuE4D2	3067.698659	1855.127703	1016.406393	365.6880604	140.4731519	219.1995151	109.8275988	84.41833436	98.72462639	67.38185683	126.7383147	211.6989974	357.597342	205.7423225	93.10693945	11.69343385	6.711214554	6.900867625	5.311421261	2.415968157	6.004727192	6.225946156	2.571159545	6.892711487	181.2491757	77.60474058	19.3870573	26.51470059	12.38886154	2.499642103	3.740872541	5.601508799	2.203035287	1.895277574	0.217898122	6.591323631
JuE4D3	3088.172597	1672.65372	1041.79421	406.3354965	111.1055405	221.0547143	109.5265478	96.61494767	101.7654031	57.62388731	138.3149738	222.6071026	357.2436211	208.4171996	97.90650358	16.62090057	4.80215951	4.453292645	3.023152554	2.204522353	5.455292286	9.794879194	3.398578398	6.289394185	165.2158069	63.82729298	24.84715456	25.01092558	14.06931175	2.332456961	4.332808683	4.992426211	2.805680669	0.587776192	0.925356232	11.07159819
