	Actinobacteria	Proteobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Thaumarchaeota	Gemmatimonadetes_d__Bacteria	unclassified_d__Bacteria	Verrucomicrobia	Planctomycetes	Candidatus_Rokubacteria	Others	Proteobacteria	Actinobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Gemmatimonadetes	unclassified	Firmicutes	Rokubacteria	Nitrospirae	Cyanobacteria	Others	Actinobacteria	Proteobacteria	Chloroflexi	Acidobacteria	Bacteroidetes	unclassified	Planctomycetes	Gemmatimonadetes	Firmicutes	Verrucomicrobia	Ignavibacteriae	Others
ApE4W2	2946.270257	1696.777845	1177.256362	533.7488732	106.3901745	5.57792557	73.16980558	92.13343706	85.79461449	82.10325493	77.96758451	284.7975464	364.549389	177.1001153	94.23103258	16.02149831	2.38214207	1.724375968	2.583830589	4.598857749	5.215241709	4.350994576	0.650418576	7.045843842	165.2078251	42.42220244	38.97447644	37.57640414	8.285376994	2.226675294	1.861494167	2.28295641	7.583583306	0.891618302	0.140045145	5.223405815
ApE4W3	2308.751987	2719.940244	435.8399841	263.6239027	237.592493	1.598340624	197.394997	61.98893231	89.86684008	74.54053773	28.07287859	508.9467212	483.2643022	119.3870153	29.09830594	7.831818108	8.039939221	5.037874333	0.826351426	1.867474278	0.420346111	0.36956211	66.94464846	5.615449707	162.9354615	62.18165912	13.64838636	12.65922146	13.98421161	5.016094799	2.212083088	2.860324033	4.147901284	1.697254042	0.221244379	26.96341506
AuE1W1	1078.080723	2139.108688	282.6368781	750.9582819	1194.429813	4.083265992	121.3272245	149.8514293	92.82574303	111.9517705	16.39598537	713.3371076	522.498951	62.7390675	35.75627334	47.28585989	80.56350532	10.20198732	11.76742916	38.63044815	0.147948648	0.73564455	0.883457822	26.37765897	53.24006535	56.13626811	38.85001843	13.88205747	115.1626711	14.80182182	9.215239724	12.14777858	17.23169978	3.46620188	7.05524194	20.27284738
AuE1W2	1426.119592	1829.858172	365.4466371	719.4864924	1671.072613	3.539838616	176.2995775	212.9155881	86.6168457	131.1747469	26.23336951	1013.666203	458.7426755	76.16725999	44.37213575	40.61567895	87.57819647	11.86283171	15.67103706	31.71861408	2.489917937	0.841652709	2.371606007	20.35539898	47.127108	40.26895161	30.29279645	15.04302156	166.2638927	19.93529551	6.51523587	11.58558816	26.88896454	1.381682944	4.397998164	19.1553752
AuE1W3	1473.537311	2475.498473	153.9674725	691.7704843	743.8077214	3.71967474	68.74646519	165.5846583	156.9664379	134.3209265	7.104610405	554.5046883	615.942087	67.12902639	20.6195172	37.05040268	27.05188436	4.833385459	11.83973415	15.24120623	0.122808784	1.260379186	0.509798501	20.35737076	107.6656284	56.89349157	33.72862511	8.977895415	55.18930691	18.95952497	6.966939276	4.871517042	8.730126479	3.572325761	4.132596984	16.54672979
AuE2W1	2007.359867	2223.49339	727.9182812	589.4302825	247.9854548	115.280037	239.2850035	117.452054	76.11553129	99.32240112	54.01878105	381.9572299	417.3861868	113.7146018	71.9785073	21.42944428	7.834517091	14.57663288	8.305481528	4.57633344	3.002985721	2.225888648	0.290477234	24.70386953	90.19609594	45.83883772	32.50770719	19.81064681	20.17897683	2.436129175	6.772378986	9.212975959	3.797051276	0.451269539	2.990312351	8.253606503
AuE2W2	1966.771747	2121.068176	741.802321	716.1886543	385.4998591	75.11523776	239.7192387	126.6937675	76.52687319	97.71466813	34.93118223	425.6841152	386.111277	102.9482755	76.52549315	27.34699755	16.1689289	16.87063427	8.265330002	7.116496209	0.95561509	1.27008498	0.099698508	30.85145999	99.25232442	47.56956747	40.12925914	18.2758523	34.67359764	3.542722318	3.489272923	11.65973234	2.482002357	0.49156903	4.878757131	8.860970087
AuE2W3	2237.477454	2219.687943	591.5149941	544.5914434	385.2566659	69.10448891	211.8759007	112.5035306	81.85115782	88.79170354	35.08082735	339.8623314	428.8765093	119.3075312	54.96134721	23.66902232	16.8056021	14.00840631	9.158151415	5.134572815	1.232076704	1.207564812	0.184793904	25.54449395	120.216068	56.10040319	25.89816931	16.26287084	34.5986569	3.906144412	4.130311517	9.167380441	2.580709878	2.184364861	1.856995989	8.578866604
AuE3W1	2736.364519	2194.198653	1190.076094	290.1785744	199.8653644	93.8568486	65.89458467	92.27544391	113.9436474	81.76152564	192.9385895	228.1101441	400.3274298	199.97489	85.65854582	5.61532175	4.055500793	0.493888159	3.195246405	2.405158642	9.503529815	5.968694236	1.604090417	5.744711843	141.9049166	72.71240631	20.33728539	22.38600422	14.98504306	1.588884715	10.55652434	2.7334432	5.075572349	1.485406245	0.182329102	5.605016197
AuE3W2	2058.95845	2693.796261	949.3641766	278.0170308	282.613185	37.78231209	64.2543265	105.9310645	144.2316122	76.60802978	397.2435388	239.3082994	538.1042204	140.6400232	75.28415559	7.68458469	11.19420728	1.470572655	4.497551442	1.571271393	23.37615095	7.65810883	0.990887164	12.06930985	117.1713476	147.9464646	20.69660464	27.59012267	27.42671255	2.4767911	4.365970881	4.888581577	2.980303206	1.855465129	0.158411994	7.654097756
AuE3W3	2715.484246	2465.044502	928.4344557	236.0232893	210.6777356	28.20552737	52.26130294	80.74073653	135.0102808	66.74485199	177.0000793	234.5860015	495.0655432	159.8599104	67.99691286	6.291933208	5.980736869	0.93628124	3.749597878	1.023990966	8.643280835	4.112622607	0.513520191	9.453153572	231.1978382	103.3776492	20.41216393	31.12543124	15.22232978	3.279027191	5.16309966	2.709356771	3.452662926	2.184810862	0	5.227881546
AuE4W1	2659.365746	2323.526973	670.463466	403.8288851	249.170891	2.651257896	46.4199883	67.48394029	72.52255873	62.60107286	26.0500441	394.1897167	556.8794297	136.2948556	61.04556017	14.96926179	25.62429321	2.436101077	1.373769956	9.451798251	0.732815456	1.274644002	1.197916315	5.566956638	172.0601846	76.83795875	25.29551246	16.77309025	18.38399452	3.368446863	3.890348953	2.637361448	14.05901307	0.858789915	0.99161998	9.948547666
AuE4W2	2917.598521	2202.633924	849.9410931	326.8672598	146.7128785	15.59213476	55.70622477	84.95170495	79.72854492	72.42732558	72.17353298	252.1642592	453.3423431	185.1953165	68.01475964	10.08236714	6.2491108	3.197896802	1.436007772	3.476284594	2.964273114	2.072082821	1.148619049	5.210645219	194.9262375	68.5053796	20.25587818	23.35511677	9.635566719	3.744607956	2.950868495	2.21704184	3.138329491	1.297457904	0.23405291	9.184865548
AuE4W3	1579.581002	2203.862909	791.4354701	787.8494986	262.0764118	10.75984913	87.60089962	135.1899278	100.4102321	94.17049534	125.0828014	356.7153921	521.1843187	100.3257118	117.8639038	23.78444895	8.204123155	3.762075138	10.74851666	8.289447073	11.87999242	3.007602917	0.264946369	10.28336705	83.9353809	46.17688391	59.28132393	22.07148786	27.45048103	4.995945375	3.118437082	2.371304483	11.50482642	2.932939871	0.287855945	15.560605
JuE1W1	1137.966439	2347.32134	153.6053169	784.2238576	765.6839049	2.077476723	36.59690544	368.1548136	125.6065517	231.4926117	7.927350716	563.7438921	535.0774139	44.17087837	14.90237561	41.47659254	24.8048467	1.076144559	31.71802617	8.80615434	0	1.290976842	0.589325383	22.08962021	96.58306066	60.03012636	38.37139659	8.311718478	57.51592909	53.27229574	13.93522814	6.913029404	7.846781983	4.252157882	4.411009215	21.86340583
