Family,Ju_E1_D_1,Ju_E1_D_2,Ju_E1_D_3,Ap_E1_D_3,Au_E1_D_1,Au_E1_D_3,Ap_E1_D_2,Ap_E1_D_1,Au_E1_D_2,Ap_E2_D_2,Au_E2_D_3,Au_E2_D_1,Ap_E2_D_1,Ju_E2_D_2,Ju_E2_D_1,Ap_E2_D_3,Au_E2_D_2,Ju_E2_D_3,Au_E3_D_3,Au_E3_D_1,Ap_E3_D_1,Ap_E3_D_2,Ju_E3_D_2,Au_E3_D_2,Ju_E3_D_1,Ap_E3_D_3,Ju_E3_D_3,Ju_E4_D_3,Au_E4_D_2,Au_E4_D_1,Ju_E4_D_1,Ap_E4_D_1,Au_E4_D_3,Ap_E4_D_2,Ju_E4_D_2,Ap_E4_D_3,Ju_E1_W_3,Au_E1_W_3,Ap_E1_W_3,Au_E1_W_2,Ap_E1_W_1,Ap_E1_W_2,Ju_E1_W_1,Ju_E1_W_2,Au_E1_W_1,Ap_E2_W_1,Au_E2_W_3,Au_E2_W_2,Au_E2_W_1,Ap_E2_W_3,Ju_E2_W_2,Ap_E2_W_2,Ju_E2_W_3,Ju_E2_W_1,Ju_E3_W_2,Ap_E3_W_2,Ap_E3_W_3,Au_E3_W_2,Ap_E3_W_1,Au_E3_W_1,Ju_E3_W_3,Ju_E3_W_1,Au_E3_W_3,Ap_E4_W_3,Ju_E4_W_1,Au_E4_W_1,Au_E4_W_2,Ju_E4_W_3,Au_E4_W_3,Ap_E4_W_1,Ju_E4_W_2,Ap_E4_W_2
GT96,0,0,0,0,0,0,0,0,0,0.636439405,0.721561342,0.689646922,0.328106846,0.721173523,1.138039646,1.091242015,0.503498082,1.828562554,0.125372117,0.372892562,0,0.229583202,0,0.69805368,0,0.605472148,0,0.3897834,0.198005279,0.358637136,0.190665515,0.219196131,0.917122055,0.137830461,0.154555645,0.870979241,0.729401669,0.299283758,0.501286279,0.218277254,0,0.62720293,0.038612853,1.274777471,0.154807194,0.335179964,0.375870889,0.548491913,0.096041784,1.121564832,0.289426843,1.554422304,0.361699501,0.132512237,0,0.697678553,0.149712892,0,0.749869299,1.252517676,0.493052441,0.244525143,0,0,0,0.145517572,0,0,0.128233279,0,0,0
GH43_37,0.653921596,0.241625408,0.32504624,0,0,0.1051546,0.38728827,0.118895739,0.669433658,1.06615929,1.044876939,0.274040884,0.510970782,1.69317587,0.785101179,1.006590348,0.229630821,0.20967065,0.723137036,1.02524028,2.944502407,0.380174533,1.600167582,1.535393603,0.539511692,0.364367044,0.318711477,0,0,0.186298754,0,0.182915392,0.52157276,0.490486329,0.647977573,0.202742707,0.1835092,0.238666127,0.330482849,1.814166547,0.066004092,0,0,0,0.431950984,0.079763722,0,0,0,0.631501151,0,0,0,0,0.127147182,0.129880851,0.397230751,1.478398117,0,0.863647152,0.373011896,0,0.293991292,0.192798673,0,0,0.798044921,0,0,0.640215554,0,0.527653964
AA5_1,0.309626996,1.671333257,0.483709303,1.124554049,1.795561698,0.975750756,0.294630112,0.947068804,0.854145885,0.437702522,0.981640295,1.032923332,0.16602776,0.16005211,0.17857602,0.523622625,0.495107789,0.781819258,0,0.201900703,0,0.045183928,1.587764012,0,0.309911096,0.256691667,0.110835214,0,0,0.114393972,0,0,0,0,0,0.195534309,0.432093687,1.354359157,0.291155157,0.577478875,0.815310563,0.446067021,0.31189011,1.211361364,1.085748946,0.849247105,0.467580057,0.362945119,0.325158252,0.320853324,0.229148204,0.243626249,0.268772261,0.231575233,3.060686955,1.568666398,0.694042758,1.008074916,0,0.772856922,0.33518916,0.267304591,0.179444153,0,0,0,0,0,0,0,0,0
PL4_5,0.141814322,0.594492671,0.735104572,0.178083782,0.598198219,0.170594158,0.382597114,0.384948998,0.346355133,0.692774569,0.83633711,1.339873405,0.190858334,0.613445053,3.316581777,1.983131511,0.685726723,0.213971586,0.173835288,0,0.900747451,0,0,0.117922563,0,0.138587382,0,0,0,0.671842485,0,0,0,0.75813188,0,0,0.292603373,0.105410873,0.362981132,0,0.492280523,0,0,0,0.133648154,0.148159169,0.284506384,0.182281392,0.259683795,0.168815868,0.176490482,0.394614116,0.526812463,0.394473223,3.489049712,1.831825712,0.816017521,0.356146074,0.198683318,0.824839388,1.178264088,0.908286739,0.124255988,0.963993367,0,1.553259383,0,0.191602457,0.509645082,0.091375148,1.079393705,0.112964592
PL1_3,0,0,0,0,0,0,0,0,0,0,0,0.390563362,0.110546659,0,0.667556747,0.067784162,0,0.055930911,0.171675242,0.123413835,0.335063563,0,0.072187215,0.437143838,0.219624229,0.320627109,0.174383048,0,0.136958075,0,0.249364786,0.197405243,0,0.12711442,0.268520919,1.231733117,0.470461184,3.504620733,0.458735285,0.518464188,0.110418061,0.452291275,1.303643099,0.804778204,1.465333576,0,0,0,0,0.372374198,0,0.128525034,0.073904438,0.256509375,0.59807131,0.404653907,0.062213132,0.272810203,0.923576396,0.997837447,0.905244453,0.095229641,0.578417202,0.750854988,0,0,1.608897038,0.517705944,1.315399683,1.296460177,0,0.09736472
PL6_3,0.511764727,0.588498023,0.670356906,0.789409317,0.743175169,0.781082859,0.769062099,0.671048276,0.401333404,1.856811162,0.983523378,0.326516798,1.419034361,0.755942189,1.283128389,1.091485954,1.009634639,1.650065345,0,0.355112507,0.358403328,0.120490475,0.190963343,0.355393672,0.077797924,0.07863422,0,0.174342478,0.366245656,0.081761209,0.495087635,0,0,0.336267223,0.083334078,0.193927807,0.590636624,0.095828066,0.269980462,0,0.146138791,0.06154959,0.088341526,0.063402964,0.044272512,0,0,0.0443799,0.224097497,0.125904308,0,0,0.414128413,0,0.182948453,0.119184941,0.33940683,0.306478867,0.25900778,0.216051412,0.445775445,0.22438808,0.469951964,0,0.363463088,0.550420509,0.140645114,1.139353176,0.673263466,0,0.154023074,0.140045145
GH52,0.086336837,0.175643085,0.902625628,0.54008785,0.151204491,0.498710808,0,0.188834409,0.078924935,0,0.15941908,1.512657917,0.824626369,0.209862781,0,0.212466323,0,0.350625709,0,0.363911408,1.008246378,0,0,0.179361209,0,0,0,0.364289865,0.220195525,0.193198708,0.296590802,0,0,0,0.446782705,0.522237249,0.491573666,0.178486747,0.41574396,0.534923516,0.254902824,0.736375116,0.616243306,0.272606104,0.371698606,0,0.44747606,0,0,0.10556592,0,0.215160426,0.085980326,0,0,0.23478195,0.178110205,0.030244543,0.297448845,0.104424849,0.55149553,0.398951434,0.175980703,0.042240711,1.22989171,0.513834331,0.037177418,1.341124042,0.977533058,0.270530692,3.782969078,1.013966496
GH85,0.591222855,0.182668808,0,0.940519816,0,0.158993755,0.240237893,0,0.453537762,0.503533606,1.085072933,0.921278286,0,0.25785487,1.47464523,0.14284459,0.125259306,0,0,0,0.384549873,0,0,0,0.891648066,0,0,0.381170947,0.425711349,0.133752951,0.246398512,0.272028019,0.129278718,0,0,0.274482434,0.58526047,0.737236806,0.161492869,1.73608152,0.307446572,2.413771332,0.091102199,1.887409513,0.792019377,0,0,0.039767382,0.215864589,0.083173149,0,0.081135915,0.159454423,0,0.099761635,0,0.221004745,0,0.442779967,0.137565669,0.112386954,0.309640777,0,0.198469223,1.362329752,0.664438723,0.703892454,0.224885513,0,0,0,0
PL3_1,0,0.150221059,0,0,0,0,0,0.147837465,0,0.262466208,0.584981987,0.151443646,0.125451826,0,0,0.142042093,0.085730755,0,0.157911445,1.274265863,1.356002816,1.139418179,0.20712178,0,0.680723963,0.957164697,0.148387934,0.306487414,0.104683119,0,0.86998433,1.007577466,0,0.36332854,0.169322108,1.021183004,0.455693599,0.274984886,0.264552811,0.146890627,0.441672245,0.073525302,1.014358074,0.151478574,0.28708947,0,0,0.064059675,0,0,0,0,0,0,0.383951029,0,0.178503833,0,0.285810839,1.938555149,0,0.131602074,1.197716465,0.485508499,0.137785488,0.147963245,0,0,0,0,0,0
GH98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689405712,2.164875254,3.165404439,2.191645967,1.612344087,1.331844444,5.069151995,1.308154908,7.457633376,0.422672715,0.510291977,0.129882459,0.123115221,0.171869373,0,0,0.060343991,0.307440547,0,0,0,0,0.252673351,0,0,0,0,0,0,0,0,0.349366866,1.244239122,0,0.656053514,0
