Taxon,ApE1D1,ApE1D2,ApE1D3,ApE2D1,ApE2D2,ApE2D3,ApE3D1,ApE3D2,ApE3D3,ApE4D1,ApE4D2,ApE4D3,JuE1D1,JuE1D2,JuE1D3,JuE2D1,JuE2D2,JuE2D3,JuE3D1,JuE3D2,JuE3D3,JuE4D1,JuE4D2,JuE4D3,ApE1W1,ApE1W2,ApE1W3,ApE2W1,ApE2W2,ApE2W3,ApE3W1,ApE3W2,ApE3W3,ApE4W1,ApE4W2,ApE4W3,JuE1W1,JuE1W2,JuE1W3,JuE2W1,JuE2W2,JuE2W3,JuE3W1,JuE3W2,JuE3W3,JuE4W1,JuE4W2,JuE4W3,AuE1D1,AuE1D2,AuE1D3,AuE2D1,AuE2D2,AuE2D3,AuE3D1,AuE3D2,AuE3D3,AuE4D1,AuE4D2,AuE4D3,AuE1W1,AuE1W2,AuE1W3,AuE2W1,AuE2W2,AuE2W3,AuE3W1,AuE3W2,AuE3W3,AuE4W1,AuE4W2,AuE4W3
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77272E-08,0,0,0,0,0,0,0,0,0,0,0,1.94966E-07,4.15299E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3.92376E-06,2.78852E-06,1.7167E-06,4.92024E-06,5.75386E-06,6.61145E-06,2.72379E-06,2.87848E-06,3.69347E-06,3.63569E-06,3.06467E-06,4.2168E-06,3.18467E-06,2.86462E-06,2.32363E-06,4.40895E-06,5.49612E-06,5.10445E-06,2.77444E-06,1.92977E-06,2.58087E-06,3.72699E-06,3.50208E-06,3.124E-06,1.14399E-06,7.58653E-07,1.41336E-06,2.15316E-06,2.06891E-06,2.4752E-06,5.50929E-06,6.44279E-06,6.14548E-06,4.09974E-06,5.37153E-06,1.32784E-06,6.81148E-07,5.24304E-07,4.2976E-07,1.69163E-06,1.40869E-06,2.2603E-06,5.84407E-06,5.53253E-06,4.98894E-06,5.33759E-06,7.83891E-06,5.71347E-06,1.97409E-06,3.23695E-06,2.87702E-06,6.85545E-06,4.58196E-06,4.3901E-06,3.63086E-06,2.24435E-06,4.00794E-06,3.49528E-06,3.51932E-06,3.07478E-06,1.08351E-06,1.21155E-06,8.63829E-07,2.56968E-06,2.40743E-06,1.96771E-06,3.01953E-06,3.21654E-06,3.97051E-06,1.99188E-06,2.99341E-06,2.61427E-06
28,0,0,0,0,0,0,0,0,5.60291E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68698E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1726E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15839E-08,0,0,0,0
29,0,0,0,7.63892E-08,0,5.5843E-08,0,0,4.63182E-08,2.18455E-08,3.90523E-08,2.95543E-08,0,0,0,0,0,1.38234E-07,3.83269E-08,2.07914E-08,0,0,0,1.85779E-08,0,1.33836E-08,1.00454E-08,2.9761E-08,0,1.13034E-08,1.63162E-07,6.48836E-08,9.6605E-08,0,1.57883E-08,0,0,0,0,7.92385E-08,0,2.16703E-08,1.1011E-07,1.20172E-07,4.10518E-08,1.83849E-08,0,5.21797E-08,0,1.32939E-08,0,1.896E-08,0,0,0,1.64813E-08,1.59735E-08,8.45867E-08,0,1.9466E-08,3.85072E-08,0,0,4.98361E-08,2.33212E-08,2.53081E-08,4.24205E-08,9.21347E-08,2.4162E-08,1.45025E-08,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52382E-08,0,0,0,0,0,0,0,0,0,0,1.22823E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,8.62361E-08,0,7.10043E-08,0,0,0,0,0,0,0,0,9.02136E-08,0,7.19538E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42291E-08,2.04246E-08,7.62389E-08,0,0,0,0,8.73977E-08,3.28414E-08,0,3.86541E-08,0,0,0,0,0,0,0,7.30267E-08,3.57559E-08,9.29366E-08,1.17176E-07,3.82514E-08,1.51009E-07,9.98334E-08,1.649E-08,1.5435E-08,0,1.72749E-08,0,0,1.94255E-07,3.86592E-08,0,3.97972E-08,0
32,0,0,0,0,0,4.67098E-08,0,0,0,0,0,0,0,8.43675E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.715E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1.71345E-08,9.94298E-08,1.96364E-08,4.26026E-08,3.96271E-08,0,1.69051E-08,0,0,0,0,2.50298E-08,0,0,1.05881E-07,7.37089E-08,2.64219E-08,7.28036E-08,3.67525E-08,5.5171E-08,0,8.49384E-09,2.30141E-08,3.83327E-07,3.68759E-07,6.43994E-08,1.5532E-07,2.89926E-07,2.25845E-07,1.04778E-08,2.80699E-08,7.18731E-09,7.11346E-08,0,4.74405E-08,4.56417E-07,2.703E-07,2.74988E-07,4.10921E-07,1.11723E-06,1.8679E-07,0,0,0,0,0,1.34552E-08,1.48204E-08,1.37433E-08,0,0,2.8051E-08,1.8664E-08,2.01596E-07,1.55974E-07,4.90803E-08,1.2921E-07,4.72608E-08,3.1734E-08,6.09879E-08,8.13871E-08,3.45956E-07,1.87616E-07,1.77818E-07,1.45782E-07
34,1.05131E-07,4.01211E-07,3.04811E-07,0,6.15683E-08,4.62773E-08,6.44496E-08,2.52508E-08,1.11848E-07,1.44877E-07,2.26809E-07,3.67729E-07,1.12644E-07,5.90794E-08,1.1884E-07,0,0,2.59369E-08,0,0,8.70925E-08,3.20871E-07,1.06898E-07,3.34295E-07,7.41457E-07,1.32853E-06,9.45233E-07,6.88863E-08,8.79693E-08,5.00122E-08,5.12645E-07,3.58058E-07,1.1086E-07,2.17467E-07,4.96547E-07,9.01517E-08,4.89896E-07,1.47786E-07,2.39113E-07,5.75429E-08,2.24111E-08,1.95192E-07,6.15399E-07,1.02785E-06,3.23848E-07,2.86082E-06,2.80037E-06,2.1289E-06,4.05977E-07,2.77369E-07,2.20607E-07,0,1.03082E-07,2.25945E-08,3.42094E-08,1.46635E-07,1.84572E-07,3.78586E-07,2.06561E-07,1.06584E-07,3.51342E-07,5.32658E-07,2.63762E-07,2.24711E-07,1.22489E-07,9.14565E-08,1.14938E-07,4.16356E-07,2.08397E-07,1.78972E-07,1.55202E-07,6.99482E-07
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22277E-08,3.37227E-08,1.26225E-08,8.97999E-08,6.04404E-08,9.21582E-08,0,0,0,0,9.44291E-08,0,0,0,0,6.21776E-08,4.27043E-08,3.16033E-07,0,0,0,0,0,4.42468E-08,0,0,0,0,0,0,0,0,0,0,0,0,4.8577E-08,2.42853E-08,0,6.29509E-08,0,8.71857E-08,0,0,0,0,0,0
36,0,0,0,1.20937E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54854E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
